state,load_value,time
HIMACHAL,1445,1713067007.9764779
J & K,2386,1713067007.9764779
PUNJAB,6151,1713067007.9764779
RAJASTHAN,11335,1713067007.9764779
UTTARAKHAND,1552,1713067007.9764779
UTTAR-PRADESH,16040,1713067007.9764779
CHANDIGARH,170,1713067907.4751654
HARYANA,4501,1713067907.4751654
HIMACHAL,1445,1713067907.4751654
J & K,2403,1713067907.4751654
PUNJAB,6032,1713067907.4751654
RAJASTHAN,11410,1713067907.4751654
UTTARAKHAND,1549,1713067907.4751654
UTTAR-PRADESH,16023,1713067907.4751654
CHANDIGARH,167,1713068838.4973001
HARYANA,4467,1713068838.4973001
HIMACHAL,1435,1713068838.4973001
J & K,2399,1713068838.4973001
PUNJAB,5939,1713068838.4973001
RAJASTHAN,11691,1713068838.4973001
UTTARAKHAND,1542,1713068838.4973001
UTTAR-PRADESH,16050,1713068838.4973001
CHANDIGARH,166,1713069707.4894688
HARYANA,4436,1713069707.4894688
HIMACHAL,1419,1713069707.4894688
J & K,2214,1713069707.4894688
PUNJAB,5871,1713069707.4894688
RAJASTHAN,11457,1713069707.4894688
UTTARAKHAND,1549,1713069707.4894688
UTTAR-PRADESH,15934,1713069707.4894688
CHANDIGARH,167,1713070640.6276016
HARYANA,4344,1713070640.6276016
HIMACHAL,1355,1713070640.6276016
J & K,2154,1713070640.6276016
PUNJAB,5756,1713070640.6276016
RAJASTHAN,11612,1713070640.6276016
UTTARAKHAND,1490,1713070640.6276016
UTTAR-PRADESH,15657,1713070640.6276016
CHANDIGARH,173,1713071507.4361196
HARYANA,4341,1713071507.4361196
HIMACHAL,1364,1713071507.4361196
J & K,2124,1713071507.4361196
PUNJAB,5687,1713071507.4361196
RAJASTHAN,11672,1713071507.4361196
UTTARAKHAND,1381,1713071507.4361196
UTTAR-PRADESH,15610,1713071507.4361196
CHANDIGARH,174,1713072407.8362656
HARYANA,4389,1713072407.8362656
HIMACHAL,1333,1713072407.8362656
J & K,2140,1713072407.8362656
PUNJAB,5649,1713072407.8362656
RAJASTHAN,11811,1713072407.8362656
UTTARAKHAND,1441,1713072407.8362656
UTTAR-PRADESH,15569,1713072407.8362656
CHANDIGARH,174,1713073307.5310495
HARYANA,4287,1713073307.5310495
HIMACHAL,1357,1713073307.5310495
J & K,2129,1713073307.5310495
PUNJAB,5543,1713073307.5310495
RAJASTHAN,11616,1713073307.5310495
UTTARAKHAND,1376,1713073307.5310495
UTTAR-PRADESH,15339,1713073307.5310495
CHANDIGARH,166,1713074258.8473823
HARYANA,4315,1713074258.8473823
HIMACHAL,1308,1713074258.8473823
J & K,2093,1713074258.8473823
PUNJAB,5344,1713074258.8473823
RAJASTHAN,11741,1713074258.8473823
UTTARAKHAND,1396,1713074258.8473823
UTTAR-PRADESH,15111,1713074258.8473823
CHANDIGARH,164,1713075107.5385203
HARYANA,4297,1713075107.5385203
HIMACHAL,1325,1713075107.5385203
